Emp Id,Channel Name,Mode of Sales,Line of Business,KPI Metric,KPI Metric Value,Transaction Date 
254,Distribution,Indirect,Super-Dealer,SCRATCH_CARD,4217,31-Jul-09
257,Distribution,Indirect,Super-Dealer,ERECHARGE,8264,31-Jul-09
261,Distribution,Indirect,Super-Dealer,EX_POS,600,31-Dec-09
L2365,Distribution,Indirect,Super-Dealer,EX_POS,700,31-Dec-09
256,Distribution,Indirect,Super-Dealer,NON_EX_POS,200,31-Dec-09
258,Distribution,Indirect,Super-Dealer,NOT_INITIALIZED,3638,31-Jul-09
260,Distribution,Indirect,Super-Dealer,NOT_INITIALIZED,5017,31-Jul-09
261,Distribution,Indirect,Super-Dealer,LINES,3380,31-Jul-09
L2361,Distribution,Indirect,Super-Dealer,LINES,10631,31-Jul-09
L2365,Distribution,Indirect,Super-Dealer,SCRATCH_CARD,4555,31-Jul-09
256,Distribution,Indirect,Super-Dealer,ERECHARGE,10433,31-Jul-09
255,Distribution,Indirect,Super-Dealer,ERECHARGE,5040,31-Jul-09
254,Distribution,Indirect,Super-Dealer,EX_POS,600,31-Dec-09
257,Distribution,Indirect,Super-Dealer,EX_POS,900,31-Dec-09
252,Distribution,Indirect,Super-Dealer,NOT_INITIALIZED,12554,31-Jul-09
255,Distribution,Indirect,Super-Dealer,NOT_INITIALIZED,5040,31-Jul-09
253,Distribution,Indirect,Super-Dealer,NOT_INITIALIZED,5355,31-Jul-09
252,Distribution,Indirect,Super-Dealer,LINES,12554,31-Jul-09
254,Distribution,Indirect,Super-Dealer,LINES,4217,31-Jul-09
256,Distribution,Indirect,Super-Dealer,SCRATCH_CARD,10433,31-Jul-09
260,Distribution,Indirect,Super-Dealer,ERECHARGE,5017,31-Jul-09
253,Distribution,Indirect,Super-Dealer,ERECHARGE,5355,31-Jul-09
253,Distribution,Indirect,Super-Dealer,EX_POS,500,31-Dec-09
256,Distribution,Indirect,Super-Dealer,EX_POS,500,31-Dec-09
259,Distribution,Indirect,Super-Dealer,NON_EX_POS,300,31-Dec-09
258,Distribution,Indirect,Super-Dealer,LINES,3638,31-Jul-09
261,Distribution,Indirect,Super-Dealer,SCRATCH_CARD,3380,31-Jul-09
259,Distribution,Indirect,Super-Dealer,SCRATCH_CARD,2909,31-Jul-09
L2361,Distribution,Indirect,Super-Dealer,SCRATCH_CARD,10631,31-Jul-09
260,Distribution,Indirect,Super-Dealer,SCRATCH_CARD,5017,31-Jul-09
253,Distribution,Indirect,Super-Dealer,SCRATCH_CARD,5355,31-Jul-09
L2361,Distribution,Indirect,Super-Dealer,ERECHARGE,10631,31-Jul-09
L2361,Distribution,Indirect,Super-Dealer,EX_POS,900,31-Dec-09
252,Distribution,Indirect,Super-Dealer,NON_EX_POS,300,31-Dec-09
261,Distribution,Indirect,Super-Dealer,NOT_INITIALIZED,3380,31-Jul-09
254,Distribution,Indirect,Super-Dealer,NOT_INITIALIZED,4217,31-Jul-09
259,Distribution,Indirect,Super-Dealer,NOT_INITIALIZED,2909,31-Jul-09
L2365,Distribution,Indirect,Super-Dealer,LINES,4555,31-Jul-09
255,Distribution,Indirect,Super-Dealer,LINES,5040,31-Jul-09
254,Distribution,Indirect,Super-Dealer,ERECHARGE,4217,31-Jul-09
258,Distribution,Indirect,Super-Dealer,EX_POS,800,31-Dec-09
253,Distribution,Indirect,Super-Dealer,NON_EX_POS,100,31-Dec-09
258,Distribution,Indirect,Super-Dealer,NON_EX_POS,100,31-Dec-09
257,Distribution,Indirect,Super-Dealer,NOT_INITIALIZED,8264,31-Jul-09
256,Distribution,Indirect,Super-Dealer,NOT_INITIALIZED,10433,31-Jul-09
